SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 12-Feb-2026, 105.05, 109.00, 109.00, 106.00, 106.00, 106.00, 107.54, 100, 0.11, 4, 100, 100.00
20MICRONS, EQ, 12-Feb-2026, 188.07, 188.07, 195.34, 185.29, 186.00, 187.23, 190.26, 221335, 421.12, 4390, 88540, 40.00
21STCENMGM, EQ, 12-Feb-2026, 38.90, 38.80, 39.67, 38.20, 38.40, 38.78, 38.56, 1862, 0.72, 61, 1173, 63.00
360ONE, EQ, 12-Feb-2026, 1138.40, 1135.00, 1146.80, 1110.60, 1142.10, 1144.40, 1133.25, 568928, 6447.40, 25941, 280246, 49.26
3IINFOLTD, EQ, 12-Feb-2026, 16.04, 15.96, 15.96, 15.39, 15.66, 15.50, 15.59, 282591, 44.06, 1524, 179503, 63.52
3MINDIA, EQ, 12-Feb-2026, 37580.00, 37880.00, 37880.00, 35800.00, 37515.00, 37515.00, 37439.23, 21762, 8147.52, 7420, 10857, 49.89
3PLAND, EQ, 12-Feb-2026, 34.98, 34.98, 35.20, 34.03, 34.75, 34.48, 34.48, 1821, 0.63, 49, 1100, 60.41
563GS2026, GS, 12-Feb-2026, 101.85, 101.87, 101.87, 101.71, 101.71, 101.71, 101.79, 101, 0.10, 3, 51, 50.50
579GS2030, GS, 12-Feb-2026, 99.30, 97.28, 97.28, 96.00, 96.00, 96.35, 96.36, 3000, 2.89, 6, 3000, 100.00
585GS2030, GS, 12-Feb-2026, 96.12, 97.34, 97.50, 96.12, 97.50, 97.50, 96.57, 1600, 1.55, 5, 1200, 75.00
591GS2028, GS, 12-Feb-2026, 99.16, 99.16, 99.16, 99.16, 99.16, 99.16, 99.16, 50, 0.05, 1, 50, 100.00
5PAISA, EQ, 12-Feb-2026, 333.25, 333.00, 337.85, 329.20, 331.25, 331.20, 332.19, 33422, 111.02, 1554, 17025, 50.94
601GS2030, GS, 12-Feb-2026, 98.25, 98.25, 99.00, 98.25, 99.00, 99.00, 98.31, 1740, 1.71, 4, 1600, 91.95
622GS2035, GS, 12-Feb-2026, 99.00, 97.37, 97.37, 96.29, 96.29, 96.29, 96.40, 1000, 0.96, 3, 1000, 100.00
628GS2032, GS, 12-Feb-2026, 97.00, 98.70, 98.70, 98.70, 98.70, 98.70, 98.70, 5000, 4.94, 1, 5000, 100.00
633GS2035, GS, 12-Feb-2026, 99.65, 99.70, 99.70, 99.70, 99.70, 99.70, 99.70, 2000, 1.99, 1, 2000, 100.00
63MOONS, EQ, 12-Feb-2026, 701.15, 701.00, 701.00, 684.50, 690.00, 688.70, 691.17, 59957, 414.40, 3635, 25039, 41.76
648GS2035, GS, 12-Feb-2026, 99.90, 99.90, 99.90, 99.90, 99.90, 99.90, 99.90, 100, 0.10, 4, 100, 100.00
654GS2032, GS, 12-Feb-2026, 100.00, 100.20, 100.45, 100.20, 100.45, 100.45, 100.39, 9000, 9.04, 3, 9000, 100.00
664GS2027, GS, 12-Feb-2026, 102.14, 101.41, 101.41, 101.41, 101.41, 101.41, 101.41, 75, 0.08, 1, 75, 100.00
667GS2035, GS, 12-Feb-2026, 101.39, 100.50, 101.00, 100.06, 100.50, 100.50, 100.34, 2395, 2.40, 10, 1300, 54.28
667GS2050, GS, 12-Feb-2026, 92.50, 92.98, 92.98, 92.70, 92.98, 92.98, 92.71, 141, 0.13, 16, 141, 100.00
668GS2040, GS, 12-Feb-2026, 97.00, 96.80, 96.80, 96.39, 96.40, 96.40, 96.41, 21406, 20.64, 11, 21406, 100.00
675GS2029, GS, 12-Feb-2026, 102.50, 101.65, 101.65, 101.65, 101.65, 101.65, 101.65, 100, 0.10, 1, 100, 100.00
676GS2061, GS, 12-Feb-2026, 94.15, 93.75, 94.50, 93.75, 94.50, 94.50, 93.84, 1253, 1.18, 2, 1253, 100.00
679GS2031, GS, 12-Feb-2026, 100.50, 101.25, 101.25, 101.25, 101.25, 101.25, 101.25, 9000, 9.11, 3, 9000, 100.00
68GS2060, GS, 12-Feb-2026, 91.58, 92.88, 93.20, 92.00, 92.99, 92.03, 92.28, 1717, 1.58, 13, 1712, 99.71
690GS2065, GS, 12-Feb-2026, 94.85, 94.94, 94.99, 94.51, 94.98, 94.98, 94.91, 3490, 3.31, 5, 3490, 100.00
695GS2061, GS, 12-Feb-2026, 94.50, 94.80, 94.80, 94.50, 94.50, 94.50, 94.50, 2901, 2.74, 2, 2901, 100.00
698GR2054, GS, 12-Feb-2026, 94.99, 94.00, 95.49, 93.50, 95.49, 95.49, 95.39, 6390, 6.10, 4, 6310, 98.75
699GS2051, GS, 12-Feb-2026, 96.50, 96.00, 96.52, 96.00, 96.52, 96.30, 96.35, 21500, 20.72, 16, 21100, 98.14
702GS2027, GS, 12-Feb-2026, 102.01, 101.93, 102.50, 101.93, 102.22, 102.22, 102.03, 3861, 3.94, 7, 3859, 99.95
702GS2031, GS, 12-Feb-2026, 101.31, 101.31, 101.42, 101.31, 101.42, 101.42, 101.31, 1850, 1.87, 2, 1850, 100.00
704GS2029, GS, 12-Feb-2026, 103.05, 103.05, 103.10, 103.01, 103.10, 103.10, 103.09, 5600, 5.77, 4, 5600, 100.00
706GS2028, GS, 12-Feb-2026, 103.80, 103.80, 103.80, 103.75, 103.75, 103.75, 103.75, 23100, 23.97, 4, 23100, 100.00
709GS2054, GS, 12-Feb-2026, 97.01, 97.80, 97.80, 96.75, 97.10, 97.10, 97.19, 1988, 1.93, 19, 1988, 100.00
709GS2074, GS, 12-Feb-2026, 96.48, 96.70, 96.70, 96.05, 96.70, 96.60, 96.42, 64337, 62.03, 98, 63888, 99.30
710GS2029, GS, 12-Feb-2026, 104.87, 104.50, 104.90, 104.50, 104.90, 104.90, 104.87, 11118, 11.66, 5, 11118, 100.00
717GS2030, GS, 12-Feb-2026, 104.89, 104.00, 105.25, 104.00, 105.25, 105.25, 104.40, 11135, 11.63, 5, 11135, 100.00
718GS2037, GS, 12-Feb-2026, 102.25, 101.96, 102.30, 101.96, 102.27, 102.27, 102.26, 10000, 10.23, 3, 10000, 100.00
719GS2060, GS, 12-Feb-2026, 99.10, 100.50, 100.50, 100.50, 100.50, 100.50, 100.50, 1019, 1.02, 1, 1019, 100.00
724GS2055, GS, 12-Feb-2026, 102.70, 101.75, 102.65, 101.61, 102.00, 102.00, 101.91, 9328, 9.51, 17, 8323, 89.23
725GS2063, GS, 12-Feb-2026, 98.32, 98.80, 98.80, 98.25, 98.29, 98.44, 98.36, 114892, 113.01, 143, 111450, 97.00
726GS2032, GS, 12-Feb-2026, 106.19, 106.30, 106.70, 106.30, 106.65, 106.65, 106.44, 62100, 66.10, 6, 61300, 98.71
726GS2033, GS, 12-Feb-2026, 102.89, 103.00, 103.00, 102.95, 102.95, 102.95, 102.95, 10000, 10.30, 3, 10000, 100.00
727GS2026, GS, 12-Feb-2026, 102.75, 100.18, 102.80, 100.18, 102.80, 102.80, 102.72, 33, 0.03, 6, 32, 96.97
732GS2030, GS, 12-Feb-2026, 105.00, 103.95, 104.01, 103.95, 104.01, 104.01, 103.95, 2400, 2.49, 3, 2400, 100.00
733GS2026, GS, 12-Feb-2026, 102.50, 102.50, 103.14, 102.50, 103.14, 103.14, 103.12, 6798, 7.01, 3, 6798, 100.00
734GS2064, GS, 12-Feb-2026, 100.35, 100.35, 100.39, 99.50, 99.50, 99.67, 99.92, 63306, 63.25, 50, 55735, 88.04
737GS2028, GS, 12-Feb-2026, 105.00, 104.06, 104.23, 104.06, 104.23, 104.23, 104.09, 3700, 3.85, 6, 3700, 100.00
738GS2027, GS, 12-Feb-2026, 102.94, 102.94, 103.15, 102.94, 103.13, 103.05, 103.06, 91473, 94.27, 34, 91320, 99.83
73GS2053, GS, 12-Feb-2026, 99.71, 100.89, 100.89, 99.60, 99.60, 99.60, 99.66, 5001, 4.98, 10, 5001, 100.00
741GS2036, GS, 12-Feb-2026, 105.00, 104.35, 105.60, 104.32, 104.95, 104.50, 104.38, 3631, 3.79, 9, 3623, 99.78
743GS2076, GS, 12-Feb-2026, 102.00, 101.00, 101.50, 101.00, 101.50, 101.50, 101.43, 585, 0.59, 5, 585, 100.00
746GS2073, GS, 12-Feb-2026, 101.50, 102.00, 102.00, 101.45, 101.45, 101.45, 101.48, 100, 0.10, 3, 100, 100.00
74GS2062, GS, 12-Feb-2026, 101.48, 101.99, 101.99, 101.50, 101.99, 101.99, 101.50, 6736, 6.84, 9, 6736, 100.00
754GS2036, GS, 12-Feb-2026, 106.80, 106.95, 107.01, 106.81, 107.01, 106.99, 106.98, 497625, 532.37, 140, 497025, 99.88
757GS2033, GS, 12-Feb-2026, 105.30, 105.35, 105.35, 105.35, 105.35, 105.35, 105.35, 1, 0.00, 1, 1, 100.00
824GS2033, GS, 12-Feb-2026, 110.45, 109.45, 109.45, 109.45, 109.45, 109.45, 109.45, 18100, 19.81, 2, 18100, 100.00
832GS2032, GS, 12-Feb-2026, 109.00, 108.65, 108.65, 108.65, 108.65, 108.65, 108.65, 2, 0.00, 2, 2, 100.00
83GS2040, GS, 12-Feb-2026, 112.73, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 28, 0.03, 1, 28, 100.00
83GS2042, GS, 12-Feb-2026, 108.51, 110.50, 110.50, 110.00, 110.00, 110.00, 110.06, 1430, 1.57, 2, 1430, 100.00
883GS2041, GS, 12-Feb-2026, 116.40, 116.40, 117.60, 116.40, 117.60, 117.60, 116.41, 1005, 1.17, 8, 1005, 100.00
897GS2030, GS, 12-Feb-2026, 113.50, 113.50, 113.50, 113.50, 113.50, 113.50, 113.50, 2001, 2.27, 2, 2001, 100.00
92GS2030, GS, 12-Feb-2026, 114.74, 114.74, 114.74, 114.70, 114.74, 114.74, 114.72, 19354, 22.20, 9, 19354, 100.00
A2ZINFRA, EQ, 12-Feb-2026, 15.19, 15.75, 15.75, 14.75, 14.78, 14.80, 14.94, 136584, 20.41, 373, 102760, 75.24
AAATECH, BE, 12-Feb-2026, 106.22, 107.49, 111.53, 107.49, 111.53, 111.53, 110.77, 12911, 14.30, 206, -, -
AADHARHFC, EQ, 12-Feb-2026, 472.60, 472.60, 476.00, 468.70, 469.10, 471.00, 471.25, 174451, 822.11, 11708, 122146, 70.02
AAKAAR, SM, 12-Feb-2026, 51.00, 52.00, 53.00, 48.55, 50.00, 50.00, 50.14, 19200, 9.63, 10, 9600, 50.00
AAKASH, EQ, 12-Feb-2026, 7.98, 8.14, 8.23, 7.82, 7.99, 7.96, 8.02, 72243, 5.79, 350, 50612, 70.06
AARADHYA, SM, 12-Feb-2026, 115.00, 113.00, 113.00, 111.00, 112.00, 112.00, 111.79, 8400, 9.39, 7, 6000, 71.43
AAREYDRUGS, EQ, 12-Feb-2026, 67.97, 66.75, 71.50, 66.22, 69.65, 70.94, 69.94, 608739, 425.78, 2455, 375327, 61.66
AARON, EQ, 12-Feb-2026, 162.05, 162.87, 163.20, 159.00, 160.10, 159.16, 160.29, 4795, 7.69, 268, 2747, 57.29
AARTECH, EQ, 12-Feb-2026, 49.84, 50.96, 50.96, 47.50, 48.39, 48.24, 48.36, 35918, 17.37, 523, 24383, 67.89
AARTIDRUGS, EQ, 12-Feb-2026, 375.25, 376.65, 377.60, 372.55, 374.30, 375.15, 375.10, 58730, 220.30, 2147, 34583, 58.88
AARTIIND, EQ, 12-Feb-2026, 467.15, 466.10, 468.00, 461.00, 463.00, 465.60, 464.33, 870683, 4042.87, 30396, 337203, 38.73
AARTIPHARM, EQ, 12-Feb-2026, 749.85, 745.80, 745.80, 694.00, 711.40, 710.85, 710.54, 640813, 4553.26, 30323, 247753, 38.66
AARTISURF, EQ, 12-Feb-2026, 434.90, 428.10, 434.55, 422.60, 422.60, 425.80, 429.44, 5553, 23.85, 528, 3318, 59.75
AARTISURF, P1, 12-Feb-2026, 195.45, 156.55, 197.00, 156.55, 192.80, 192.80, 182.12, 15, 0.03, 4, 5, 33.33
AARVI, EQ, 12-Feb-2026, 131.63, 133.50, 135.30, 127.00, 130.00, 130.78, 131.59, 99629, 131.10, 2935, 30275, 30.39
AATMAJ, SM, 12-Feb-2026, 20.00, 20.50, 20.50, 20.50, 20.50, 20.50, 20.50, 2000, 0.41, 1, 2000, 100.00
AAVAS, EQ, 12-Feb-2026, 1309.90, 1309.90, 1320.00, 1294.10, 1300.50, 1308.50, 1310.28, 246242, 3226.46, 17589, 169365, 68.78
ABAN, BE, 12-Feb-2026, 21.48, 21.95, 21.95, 21.01, 21.27, 21.11, 21.19, 36020, 7.63, 216, -, -
ABB, EQ, 12-Feb-2026, 5825.50, 5819.00, 5864.50, 5760.00, 5795.00, 5788.50, 5789.82, 169801, 9831.17, 16847, 99312, 58.49
ABBOTINDIA, EQ, 12-Feb-2026, 26915.00, 27135.00, 27135.00, 26550.00, 26640.00, 26660.00, 26720.41, 14882, 3976.53, 6866, 5861, 39.38
ABCAPITAL, EQ, 12-Feb-2026, 344.25, 342.55, 346.30, 340.15, 342.60, 344.65, 343.90, 5135493, 17661.10, 42727, 2792477, 54.38
ABCOTS, EQ, 12-Feb-2026, 437.90, 426.95, 441.70, 426.95, 427.00, 431.55, 434.77, 10063, 43.75, 465, 3022, 30.03
ABDL, EQ, 12-Feb-2026, 513.10, 515.00, 544.00, 515.00, 535.20, 538.40, 534.22, 1107401, 5915.90, 32405, 441575, 39.87
ABFRL, EQ, 12-Feb-2026, 70.89, 71.25, 71.26, 69.50, 69.98, 70.04, 70.19, 2416919, 1696.42, 16371, 807986, 33.43
ABGSEC, EQ, 12-Feb-2026, 110.97, 111.62, 111.62, 111.62, 111.62, 111.62, 111.62, 5, 0.01, 2, 5, 100.00
ABHAPOWER, SM, 12-Feb-2026, 31.95, 32.05, 32.05, 32.00, 32.00, 32.00, 32.03, 3200, 1.02, 2, 3200, 100.00
ABINFRA, EQ, 12-Feb-2026, 21.42, 21.88, 21.88, 19.71, 20.20, 20.22, 20.25, 1552701, 314.39, 3141, 835922, 53.84
ABLBL, EQ, 12-Feb-2026, 115.24, 115.50, 115.50, 113.03, 114.01, 114.15, 114.20, 461253, 526.77, 7497, 229382, 49.73
ABMINTLLTD, EQ, 12-Feb-2026, 56.64, 56.50, 61.40, 53.30, 53.30, 55.51, 57.02, 10140, 5.78, 331, 3690, 36.39
ABREL, EQ, 12-Feb-2026, 1442.40, 1446.30, 1460.00, 1410.90, 1412.00, 1415.20, 1418.41, 62366, 884.61, 7030, 29541, 47.37
ABSLAMC, EQ, 12-Feb-2026, 860.85, 864.55, 876.45, 856.00, 868.65, 871.40, 870.95, 578325, 5036.94, 29167, 352651, 60.98
ABSLBANETF, EQ, 12-Feb-2026, 61.91, 62.44, 62.51, 61.39, 62.15, 62.10, 62.14, 347078, 215.67, 512, 336251, 96.88
ABSLLIQUID, EQ, 12-Feb-2026, 999.99, 1000.00, 1000.01, 999.99, 1000.01, 1000.00, 999.99, 3165, 31.65, 20, 2624, 82.91
ABSLNN50ET, EQ, 12-Feb-2026, 73.48, 73.25, 73.37, 72.08, 72.15, 72.43, 72.96, 15685, 11.44, 216, 13331, 84.99
ABSLPSE, EQ, 12-Feb-2026, 10.75, 10.75, 10.78, 10.62, 10.68, 10.65, 10.67, 420907, 44.89, 687, 334445, 79.46
ABSMARINE, SM, 12-Feb-2026, 184.55, 182.00, 184.50, 180.05, 183.45, 183.10, 182.23, 44000, 80.18, 72, 33500, 76.14
ACC, EQ, 12-Feb-2026, 1698.00, 1703.90, 1703.90, 1665.50, 1671.10, 1671.30, 1679.48, 117026, 1965.43, 8708, 57820, 49.41
ACCELYA, EQ, 12-Feb-2026, 1216.00, 1217.00, 1218.70, 1202.00, 1206.00, 1208.60, 1209.27, 22006, 266.11, 1615, 12969, 58.93
ACCENTMIC, SM, 12-Feb-2026, 329.20, 331.00, 331.95, 325.00, 326.00, 326.80, 327.90, 15500, 50.82, 28, 12000, 77.42
ACCORD, SM, 12-Feb-2026, 28.00, 27.00, 27.00, 27.00, 27.00, 27.00, 27.00, 2000, 0.54, 1, 2000, 100.00
ACCPL, ST, 12-Feb-2026, 67.80, 68.40, 68.40, 68.20, 68.20, 68.20, 68.29, 4800, 3.28, 4, 4800, 100.00
ACCURACY, EQ, 12-Feb-2026, 5.18, 5.11, 5.25, 5.11, 5.22, 5.19, 5.21, 30027, 1.56, 241, 22623, 75.34
ACE, EQ, 12-Feb-2026, 912.55, 912.00, 917.25, 898.00, 901.50, 904.70, 908.67, 131791, 1197.55, 10187, 44506, 33.77
ACEINTEG, EQ, 12-Feb-2026, 20.68, 20.88, 20.88, 19.40, 19.64, 20.14, 20.02, 3265, 0.65, 113, 1882, 57.64
ACI, EQ, 12-Feb-2026, 594.65, 594.60, 594.60, 576.60, 577.00, 581.50, 583.11, 142950, 833.56, 5347, 77854, 54.46
ACL, EQ, 12-Feb-2026, 59.36, 60.00, 60.80, 54.68, 56.00, 56.70, 56.73, 47641, 27.02, 828, 28157, 59.10
ACMESOLAR, EQ, 12-Feb-2026, 228.74, 228.11, 229.00, 222.30, 224.00, 223.96, 225.47, 257009, 579.49, 6943, 116644, 45.39
ACUTAAS, EQ, 12-Feb-2026, 2033.50, 2043.60, 2105.00, 2027.10, 2101.00, 2093.40, 2077.86, 564241, 11724.13, 46930, 343495, 60.88
ADANIENPP1, E1, 12-Feb-2026, 1749.80, 1732.00, 1754.80, 1718.00, 1720.00, 1726.30, 1724.46, 79967, 1379.00, 1161, 67718, 84.68
ADANIENSOL, EQ, 12-Feb-2026, 1033.80, 1030.00, 1037.00, 1020.00, 1021.10, 1022.80, 1025.82, 772484, 7924.30, 22305, 288089, 37.29
ADANIENT, EQ, 12-Feb-2026, 2234.40, 2229.00, 2229.50, 2201.00, 2209.00, 2211.80, 2210.84, 649585, 14361.29, 33140, 168415, 25.93
ADANIGREEN, EQ, 12-Feb-2026, 994.75, 992.45, 999.60, 980.05, 996.50, 997.65, 990.71, 1250477, 12388.56, 24363, 466053, 37.27
ADANIPORTS, EQ, 12-Feb-2026, 1553.40, 1542.10, 1551.00, 1532.50, 1543.40, 1543.70, 1540.72, 1107584, 17064.75, 50330, 525842, 47.48
ADANIPOWER, EQ, 12-Feb-2026, 150.91, 150.47, 150.75, 148.75, 149.65, 149.79, 149.62, 8553724, 12797.75, 53916, 3056106, 35.73
ADDICTIVE, SM, 12-Feb-2026, 106.15, 108.00, 111.00, 108.00, 111.00, 111.00, 110.29, 5000, 5.51, 10, 5000, 100.00
ADFFOODS, EQ, 12-Feb-2026, 223.37, 223.80, 223.80, 217.00, 217.06, 217.35, 219.28, 87785, 192.50, 2197, 41184, 46.91
ADL, EQ, 12-Feb-2026, 72.51, 74.69, 74.69, 72.55, 72.55, 72.55, 73.36, 190, 0.14, 14, 129, 67.89
ADOR, EQ, 12-Feb-2026, 1084.60, 1085.80, 1089.40, 1067.20, 1079.70, 1074.20, 1077.25, 5433, 58.53, 1089, 2549, 46.92
ADROITINFO, EQ, 12-Feb-2026, 9.92, 9.92, 10.21, 9.85, 10.10, 9.97, 9.95, 28505, 2.84, 119, 24650, 86.48
ADSL, EQ, 12-Feb-2026, 128.62, 128.00, 128.00, 124.60, 124.99, 125.23, 125.90, 111874, 140.85, 2300, 55307, 49.44
ADVAIT, EQ, 12-Feb-2026, 1790.20, 1820.00, 1885.00, 1740.00, 1770.00, 1785.30, 1803.14, 132687, 2392.54, 12010, 38124, 28.73
ADVANCE, EQ, 12-Feb-2026, 133.56, 134.00, 141.90, 131.99, 138.00, 138.12, 138.80, 2790165, 3872.88, 13097, 873445, 31.30
ADVANIHOTR, EQ, 12-Feb-2026, 56.52, 56.00, 56.94, 55.57, 55.70, 55.87, 56.01, 25059, 14.04, 794, 15919, 63.53
ADVENTHTL, EQ, 12-Feb-2026, 221.10, 217.80, 224.07, 216.65, 217.50, 218.70, 219.77, 59877, 131.59, 1645, 30878, 51.57
ADVENZYMES, EQ, 12-Feb-2026, 311.20, 309.10, 310.80, 302.40, 308.00, 306.10, 305.94, 58749, 179.74, 2196, 29481, 50.18
AEGISLOG, EQ, 12-Feb-2026, 716.35, 716.70, 716.75, 703.05, 711.00, 711.55, 710.06, 225991, 1604.67, 20486, 125254, 55.42
AEGISVOPAK, EQ, 12-Feb-2026, 219.12, 217.55, 218.95, 211.68, 212.50, 213.01, 214.28, 332567, 712.64, 7639, 144334, 43.40
AEQUS, EQ, 12-Feb-2026, 145.20, 145.20, 145.30, 142.61, 143.62, 143.62, 143.85, 534211, 768.47, 7037, 268191, 50.20
AEROENTER, EQ, 12-Feb-2026, 80.76, 81.30, 84.50, 79.51, 79.64, 80.00, 81.09, 431254, 349.71, 3373, 121351, 28.14
AEROFLEX, EQ, 12-Feb-2026, 191.82, 192.00, 197.38, 189.45, 192.37, 193.24, 194.32, 933012, 1813.07, 13710, 249906, 26.78
AERON, SM, 12-Feb-2026, 103.40, 102.00, 102.00, 98.15, 98.50, 98.50, 99.58, 13000, 12.95, 11, 10000, 76.92
AERONEU, EQ, 12-Feb-2026, 74.72, 72.31, 75.01, 68.22, 69.85, 69.94, 72.30, 76768, 55.50, 983, 56458, 73.54
AESTHETIK, SM, 12-Feb-2026, 86.00, 90.00, 90.00, 84.15, 84.85, 84.85, 85.44, 29000, 24.78, 29, 26000, 89.66
AETHER, EQ, 12-Feb-2026, 981.40, 987.60, 992.00, 961.00, 962.20, 966.40, 968.00, 99980, 967.80, 8897, 41189, 41.20
AFCONS, EQ, 12-Feb-2026, 342.10, 343.00, 343.00, 335.45, 337.45, 337.60, 337.62, 111913, 377.85, 6215, 49816, 44.51
AFFLE, EQ, 12-Feb-2026, 1650.30, 1651.10, 1654.70, 1615.00, 1622.00, 1623.50, 1626.06, 86233, 1402.20, 12209, 41115, 47.68
AFFORDABLE, EQ, 12-Feb-2026, 208.92, 198.89, 205.55, 194.18, 205.55, 199.54, 198.50, 58522, 116.17, 1370, 26596, 45.45
AFIL, EQ, 12-Feb-2026, 4.99, 5.03, 5.04, 4.94, 5.00, 4.97, 5.00, 309184, 15.45, 694, 230684, 74.61
AFSL, EQ, 12-Feb-2026, 202.37, 203.50, 203.50, 201.00, 201.00, 201.01, 201.37, 19526, 39.32, 589, 12551, 64.28
AGARIND, EQ, 12-Feb-2026, 718.75, 715.85, 718.70, 704.00, 707.60, 707.50, 709.82, 6210, 44.08, 554, 3227, 51.96
AGARWALEYE, EQ, 12-Feb-2026, 457.80, 455.00, 461.20, 453.55, 457.00, 459.25, 458.14, 43582, 199.67, 2958, 22132, 50.78
AGARWALTUF, SM, 12-Feb-2026, 100.15, 101.50, 101.50, 101.00, 101.30, 101.30, 101.28, 4800, 4.86, 4, 3600, 75.00
AGI, EQ, 12-Feb-2026, 645.55, 645.00, 647.85, 635.05, 636.30, 638.60, 640.50, 37477, 240.04, 3281, 17813, 47.53
AGIIL, EQ, 12-Feb-2026, 246.65, 247.85, 247.85, 240.00, 241.80, 240.60, 241.74, 326683, 789.73, 3828, 201126, 61.57
AGNI, SM, 12-Feb-2026, 19.40, 19.40, 20.25, 19.40, 20.25, 20.25, 19.68, 15000, 2.95, 6, 10000, 66.67
AGRITECH, BE, 12-Feb-2026, 136.43, 135.75, 139.49, 133.51, 134.51, 135.07, 136.23, 930, 1.27, 29, -, -
AGROPHOS, EQ, 12-Feb-2026, 35.52, 36.09, 36.10, 35.25, 35.79, 35.45, 35.72, 18627, 6.65, 165, 13191, 70.82
AGSTRA, BZ, 12-Feb-2026, 3.87, 3.92, 3.92, 3.75, 3.85, 3.84, 3.83, 122864, 4.70, 369, -, -
AGUL, SM, 12-Feb-2026, 80.80, 80.80, 80.80, 80.80, 80.80, 80.80, 80.80, 2000, 1.62, 1, 2000, 100.00
AHCL, EQ, 12-Feb-2026, 122.93, 122.95, 124.30, 121.21, 121.83, 122.44, 122.26, 80266, 98.13, 973, 47997, 59.80
AHLADA, EQ, 12-Feb-2026, 50.63, 51.70, 51.70, 49.21, 50.99, 50.31, 50.32, 11552, 5.81, 162, 6900, 59.73
AHLEAST, EQ, 12-Feb-2026, 154.37, 144.02, 153.47, 144.02, 147.40, 149.46, 150.33, 3493, 5.25, 42, 3069, 87.86
AHLUCONT, EQ, 12-Feb-2026, 899.50, 890.00, 929.95, 889.00, 903.10, 909.90, 913.59, 197478, 1804.14, 9544, 127614, 64.62
AIAENG, EQ, 12-Feb-2026, 4026.20, 4020.00, 4020.10, 3920.90, 3946.90, 3951.10, 3956.86, 42504, 1681.82, 9392, 27745, 65.28
